loja,cep,categoria_bloco,nome_produto,preco,link_produto,data_coleta
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,"Carvão Ki Chef 2,5kg",19.99,https://www.deliveryfort.com.br/carvao-ki-chef-2-5kg/p,2026-03-03 23:20:55
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,Carvão Rei da Brasa Acácia Negra 4kg,25.9,https://www.deliveryfort.com.br/carvao-rei-da-brasa-acacia-negra-4kg/p,2026-03-03 23:20:55
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,"Carvão Vegetal Rei da Brasa 2,5kg",17.9,https://www.deliveryfort.com.br/carvao-vegetal-rei-da-brasa-2-5kg/p,2026-03-04 23:21:28
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,Carvão Vegetal Rei da Brasa 5kg,33.9,https://www.deliveryfort.com.br/carvao-vegetal-rei-da-brasa-5kg/p,2026-03-04 23:21:28
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,Carvão Ki Chef 5kg,34.9,https://www.deliveryfort.com.br/carvao-ki-chef-5kg/p,2026-03-04 23:21:28
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,Lenha Ki Carvão 10kg,29.9,https://www.deliveryfort.com.br/lenha-ki-carvao-10kg/p,2026-03-04 23:21:28
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,"Carvão Ki Chef 3,5kg",19.9,https://www.deliveryfort.com.br/carvao-ki-chef-3-5kg/p,2026-03-04 23:21:28
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,"Carvão Ki Chef 2,5kg",19.99,https://www.deliveryfort.com.br/carvao-ki-chef-2-5kg/p,2026-03-04 23:21:28
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,Carvão Rei da Brasa Acácia Negra 4kg,25.9,https://www.deliveryfort.com.br/carvao-rei-da-brasa-acacia-negra-4kg/p,2026-03-04 23:21:28
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,"Carvão Vegetal Rei da Brasa 2,5kg",17.9,https://www.deliveryfort.com.br/carvao-vegetal-rei-da-brasa-2-5kg/p,2026-03-05 23:35:30
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,Carvão Vegetal Rei da Brasa 5kg,33.9,https://www.deliveryfort.com.br/carvao-vegetal-rei-da-brasa-5kg/p,2026-03-05 23:35:30
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,Carvão Ki Chef 5kg,34.9,https://www.deliveryfort.com.br/carvao-ki-chef-5kg/p,2026-03-05 23:35:30
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,Lenha Ki Carvão 10kg,29.9,https://www.deliveryfort.com.br/lenha-ki-carvao-10kg/p,2026-03-05 23:35:30
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,"Carvão Ki Chef 3,5kg",19.9,https://www.deliveryfort.com.br/carvao-ki-chef-3-5kg/p,2026-03-05 23:35:30
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,"Carvão Ki Chef 2,5kg",19.99,https://www.deliveryfort.com.br/carvao-ki-chef-2-5kg/p,2026-03-05 23:35:30
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,Carvão Rei da Brasa Acácia Negra 4kg,25.9,https://www.deliveryfort.com.br/carvao-rei-da-brasa-acacia-negra-4kg/p,2026-03-05 23:35:30
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,"Carvão Vegetal Rei da Brasa 2,5kg",17.9,https://www.deliveryfort.com.br/carvao-vegetal-rei-da-brasa-2-5kg/p,2026-03-06 23:20:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,Carvão Vegetal Rei da Brasa 5kg,33.9,https://www.deliveryfort.com.br/carvao-vegetal-rei-da-brasa-5kg/p,2026-03-06 23:20:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,Carvão Ki Chef 5kg,34.9,https://www.deliveryfort.com.br/carvao-ki-chef-5kg/p,2026-03-06 23:20:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,Lenha Ki Carvão 10kg,29.9,https://www.deliveryfort.com.br/lenha-ki-carvao-10kg/p,2026-03-06 23:20:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,"Carvão Ki Chef 3,5kg",19.9,https://www.deliveryfort.com.br/carvao-ki-chef-3-5kg/p,2026-03-06 23:20:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,"Carvão Ki Chef 2,5kg",19.99,https://www.deliveryfort.com.br/carvao-ki-chef-2-5kg/p,2026-03-06 23:20:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Carvao,Carvão Rei da Brasa Acácia Negra 4kg,25.9,https://www.deliveryfort.com.br/carvao-rei-da-brasa-acacia-negra-4kg/p,2026-03-06 23:20:53
